R_fighter,B_fighter,title_bout,date,weight_class,Winner
Stipe Miocic,Daniel Cormier,True,2020-08-15,Heavyweight,Red
TJ Brown,Danny Chavez,False,2020-08-15,Featherweight,Blue
Jim Miller,Vinc Pichel,False,2020-08-15,Lightweight,Blue
Chris Daukaus,Parker Porter,False,2020-08-15,Heavyweight,Red
Kai Kamaka,Tony Kelley,False,2020-08-15,Featherweight,Red
Ashley Yoder,Livinha Souza,False,2020-08-15,WomenStrawweight,Blue
Tim Means,Laureano Staropoli,False,2020-08-08,Welterweight,Red
Kevin Holland,Joaquin Buckley,False,2020-08-08,Middleweight,Red
Nasrat Haqparast,Alexander Munoz,False,2020-08-08,Lightweight,Red
Derrick Lewis,Aleksei Oleinik,False,2020-08-08,Heavyweight,Red
Yana Kunitskaya,Julija Stoliarenko,False,2020-08-08,WomenBantamweight,Red
Beneil Dariush,Scott Holtzman,False,2020-08-08,Lightweight,Red
Maki Pitolo,Darren Stewart,False,2020-08-08,Middleweight,Blue
Omari Akhmedov,Chris Weidman,False,2020-08-08,Middleweight,Blue
Youssef Zalal,Peter Barrett,False,2020-08-08,Featherweight,Red
Irwin Rivera,Ali AlQaisi,False,2020-08-08,Bantamweight,Red
Gavin Tucker,Justin Jaynes,False,2020-08-08,Featherweight,Red
Andrew Sanchez,Wellington Turman,False,2020-08-08,Middleweight,Red
Joanne Calderwood,Jennifer Maia,False,2020-08-01,WomenFlyweight,Blue
Johnny Munoz,Nate Maness,False,2020-08-01,Featherweight,Blue
Frankie Saenz,Jonathan Martinez,False,2020-08-01,Bantamweight,Blue
Jamall Emmers,Vince Cachero,False,2020-08-01,Featherweight,Red
Vicente Luque,Randy Brown,False,2020-08-01,Welterweight,Red
Derek Brunson,Edmen Shahbazyan,False,2020-08-01,Middleweight,Red
Chris Gutierrez,Cody Durden,False,2020-08-01,Bantamweight,Draw
Lando Vannata,Bobby Green,False,2020-08-01,Lightweight,Blue
Alex Oliveira,Peter Sobotta,False,2020-07-25,Welterweight,Red
Robert Whittaker,Darren Till,False,2020-07-25,Middleweight,Red
Mauricio Rua,Rogerio Nogueira,False,2020-07-25,LightHeavyweight,Red
Francisco Trinaldo,Jai Herbert,False,2020-07-25,Lightweight,Red
Carla Esparza,Marina Rodriguez,False,2020-07-25,WomenStrawweight,Red
Khamzat Chimaev,Rhys McKee,False,2020-07-25,Welterweight,Red
Paul Craig,Gadzhimurad Antigulov,False,2020-07-25,LightHeavyweight,Red
Fabricio Werdum,Alexander Gustafsson,False,2020-07-25,Heavyweight,Red
