R_fighter,B_fighter,R_wins,R_draw,R_losses,B_wins,B_draw,B_losses
Roosevelt Roberts,Brok Weaver,3,0,1,1,0,0
Billy Quarantillo,Spike Carlyle,1,0,0,1,0,0
Tim Elliott,Brandon Royval,4,0,8,0,0,0
Louis Smolka,Casey Kenney,7,0,6,2,0,1
Chris Gutierrez,Vince Morales,2,0,1,1,0,2
Dan Ige,Edson Barboza,5,0,1,14,0,8
Claudia Gadelha,Angela Hill,6,0,4,7,0,7
Anthony Hernandez,Kevin Holland,1,0,1,3,0,2
Giga Chikadze,Irwin Rivera,2,0,0,0,0,0
Eryk Anders,Krzysztof Jotko,5,0,4,8,0,4
Matt Brown,Miguel Baeza,15,0,10,1,0,0
Alistair Overeem,Walt Harris,10,0,7,6,0,7
Song Yadong,Marlon Vera,4,0,1,9,0,4
Cortney Casey,Mara Romero Borella,4,0,6,2,0,3
Darren Elkins,Nate Landwehr,14,0,7,0,0,1
Rodrigo Nascimento,Don'Tale Mayes,0,0,0,0,0,1
Ricky Simon,Ray Borg,3,0,2,7,0,4
Ben Rothwell,Ovince Saint Preux,7,0,6,12,0,8
Gabriel Benitez,Omar Morales,5,0,3,1,0,0
Anthony Smith,Glover Teixeira,8,0,4,13,0,5
